Orden	Palabra	Frec.absoluta	Frec.normalizada
32	sobre	289704	1898.97
35	entre	267493	1753.38
44	había	223430	1464.55
48	hasta	202935	1330.21
49	desde	198647	1302.10
59	puede	161219	1056.76
60	todos	158168	1036.77
64	parte	148750	975.03
65	tiene	147274	965.36
68	donde	132077	865.74
71	mismo	130746	857.02
73	ahora	125661	823.69
80	otros	119500	783.30
91	tanto	110679	725.48
99	según	104204	683.04
100	menos	103498	678.41
101	mundo	101745	666.92
103	antes	100761	660.47
107	forma	97165	636.90
110	hacer	96063	629.68
114	estos	91398	599.10
116	mayor	90166	591.02
121	hacia	85122	557.96
123	ellos	84636	554.77
125	hecho	83898	549.94
127	mucho	83240	545.62
130	quien	82555	541.13
136	están	79844	523.36
139	lugar	78250	512.91
143	otras	77428	507.53
144	mejor	77315	506.78
145	nuevo	77262	506.44
146	decir	76867	503.85
149	todas	75517	495.00
157	luego	70522	462.26
160	medio	69273	454.07
162	estas	69071	452.75
164	tenía	67093	439.78
165	nunca	66939	438.77
166	poder	66900	438.52
169	veces	66441	435.51
173	grupo	65390	428.62
177	misma	63462	415.98
178	nueva	63427	415.75
181	mujer	61936	405.98
185	cosas	59580	390.53
191	tener	58029	380.37
201	punto	56259	368.77
205	noche	55281	362.35
209	haber	54150	354.94
211	fuera	53979	353.82
218	usted	50073	328.22
221	nadie	49689	325.70
223	horas	49389	323.73
225	tarde	48963	320.94
240	estar	46282	303.37
246	padre	45236	296.51
247	gente	45235	296.50
248	final	44920	294.44
255	madre	43697	286.42
259	cinco	43283	283.71
269	siglo	41890	274.58
271	meses	41650	273.01
286	maría	39812	260.96
289	sería	39731	260.43
290	junto	39521	259.05
292	aquel	39377	258.11
299	dicho	38074	249.57
301	casos	37796	247.74
302	manos	37736	247.35
303	nivel	37419	245.27
304	podía	37403	245.17
306	largo	37315	244.59
308	falta	37196	243.81
315	hemos	35988	235.89
317	trata	35744	234.29
318	algún	35564	233.11
327	señor	34905	228.79
334	claro	34589	226.72
338	orden	33982	222.74
340	buena	33759	221.28
354	libro	33056	216.67
355	igual	32950	215.98
359	ellas	32635	213.91
360	total	32539	213.28
362	tengo	32413	212.46
370	único	31999	209.74
375	pesar	31436	206.05
378	calle	31330	205.36
383	vista	30952	202.88
384	campo	30775	201.72
387	saber	30644	200.86
388	obras	30575	200.41
389	razón	30539	200.17
391	niños	30449	199.58
401	estoy	30136	197.53
408	quién	29760	195.07
409	fondo	29750	195.00
411	papel	29702	194.69
412	demás	29623	194.17
420	ambos	29178	191.25
431	salud	28630	187.66
439	media	28292	185.45
447	deben	28008	183.58
448	datos	28003	183.55
452	julio	27919	183.00
461	visto	27677	181.41
462	llegó	27556	180.62
465	bueno	27256	178.65
469	joven	27024	177.13
475	hacía	26850	175.99
480	sigue	26580	174.22
481	cerca	26495	173.67
489	valor	26106	171.12
497	serie	25677	168.30
515	hijos	24995	163.83
519	juego	24922	163.36
533	época	24358	159.66
534	banco	24341	159.55
536	menor	24142	158.24
538	pasar	24048	157.63
547	queda	23600	154.69
548	hacen	23508	154.09
550	resto	23366	153.16
551	causa	23283	152.61
557	vamos	23036	150.99
569	apoyo	22776	149.29
571	civil	22758	149.17
573	pedro	22738	149.04
575	libre	22640	148.40
578	común	22536	147.72
579	dejar	22499	147.47
581	salir	22447	147.13
595	unión	21933	143.76
599	favor	21818	143.01
602	clase	21733	142.45
609	color	21575	141.42
613	decía	21458	140.65
620	quizá	21323	139.76
628	única	21076	138.15
629	pueda	21061	138.05
633	lleva	20947	137.30
636	ayuda	20918	137.11
642	dónde	20846	136.64
646	autor	20676	135.52
649	suelo	20565	134.80
651	viejo	20558	134.75
654	tomar	20492	134.32
656	siete	20483	134.26
657	lucha	20434	133.94
660	línea	20338	133.31
662	pocos	20289	132.99
664	norte	20173	132.23
669	cargo	19935	130.67
673	plaza	19792	129.73
676	poner	19722	129.27
678	viene	19630	128.67
686	radio	19271	126.31
687	puedo	19230	126.05
691	amigo	19176	125.69
701	habrá	18951	124.22
706	santa	18890	123.82
709	sabía	18873	123.71
713	viaje	18834	123.45
716	vivir	18817	123.34
722	quedó	18674	122.40
724	éxito	18595	121.88
740	carta	18218	119.41
743	miedo	18049	118.30
753	negro	17774	116.50
754	texto	17714	116.11
755	mitad	17705	116.05
762	fecha	17551	115.04
763	serán	17529	114.90
765	ideas	17495	114.67
768	llega	17456	114.42
773	lejos	17339	113.65
777	fácil	17205	112.77
787	plazo	16976	111.27
791	enero	16929	110.96
799	atrás	16786	110.03
802	chile	16768	109.91
806	fuego	16685	109.36
809	costa	16638	109.05
811	local	16607	108.85
812	habla	16597	108.79
825	tales	16386	107.40
848	sueño	15944	104.51
849	parís	15929	104.41
850	capaz	15925	104.38
861	podrá	15804	103.59
868	dolor	15685	102.81
869	zonas	15679	102.77
874	temas	15569	102.05
876	junio	15555	101.96
877	marco	15548	101.91
887	mucha	15397	100.92
889	dicen	15383	100.83
900	busca	15280	100.15
901	abril	15278	100.14
904	lópez	15245	99.92
909	armas	15153	99.32
910	debía	15149	99.29
918	grado	15048	98.63
923	carne	14905	97.70
924	llama	14903	97.68
926	jorge	14867	97.45
933	corte	14735	96.58
935	etapa	14716	96.46
943	tipos	14592	95.64
945	deseo	14499	95.03
951	marzo	14408	94.44
953	jamás	14371	94.20
958	curso	14290	93.66
963	pablo	14152	92.76
976	larga	13908	91.16
984	líder	13830	90.65
990	torno	13781	90.33
997	somos	13727	89.97
1005	cielo	13644	89.43
1006	ambas	13612	89.22
1021	pérez	13455	88.19
1031	doble	13353	87.52
1039	crear	13289	87.10
1048	casas	13203	86.54
1056	lista	13060	85.60
1059	leyes	13046	85.51
1064	jesús	12989	85.14
1065	grave	12988	85.13
1066	tenga	12953	84.90
1067	lunes	12951	84.89
1069	junta	12909	84.61
1073	éstos	12881	84.43
1080	sitio	12776	83.74
1085	gusta	12748	83.56
1096	clara	12595	82.55
1100	moral	12560	82.32
1107	gusto	12470	81.73
1109	hotel	12446	81.58
1121	salió	12317	80.73
1148	nueve	12053	79.00
1152	abajo	11985	78.56
1157	estás	11947	78.31
1162	venta	11882	77.88
1164	ramón	11856	77.71
1178	aires	11781	77.22
1184	aguas	11732	76.90
1191	dicha	11660	76.42
1199	golpe	11569	75.83
1218	pobre	11397	74.70
1220	llevó	11389	74.65
1225	coche	11337	74.31
1239	leche	11239	73.67
1242	tarea	11215	73.51
1246	plata	11177	73.26
1250	dando	11151	73.09
1257	ganar	11074	72.58
1259	calor	11067	72.54
1262	suele	11055	72.46
1263	miles	11034	72.32
1264	ritmo	11016	72.20
1267	pasos	11009	72.16
1279	pesos	10951	71.78
1282	plano	10939	71.70
1288	jugar	10886	71.35
1291	gesto	10844	71.08
1293	vasco	10831	70.99
1295	gómez	10811	70.86
1297	pocas	10805	70.82
1304	verde	10769	70.58
1310	pidió	10755	70.49
1317	comer	10716	70.24
1318	fines	10693	70.09
1323	labor	10656	69.84
1325	justo	10635	69.71
1340	actos	10547	69.13
1350	museo	10449	68.49
1361	pagar	10407	68.21
1363	sabes	10391	68.11
1366	áreas	10363	67.92
1382	santo	10285	67.41
1383	vieja	10282	67.39
1384	mario	10251	67.19
1398	reina	10153	66.55
1404	salvo	10110	66.26
1411	quiso	10068	65.99
1419	acaba	10016	65.65
1428	marca	9965	65.31
1444	pleno	9834	64.46
1459	brazo	9737	63.82
1469	acaso	9688	63.50
1483	error	9616	63.03
1490	seres	9581	62.80
1493	poeta	9572	62.74
1507	altos	9459	62.00
1509	hojas	9453	61.96
1525	darle	9322	61.10
1526	clave	9321	61.09
1529	votos	9315	61.05
1530	logró	9289	60.88
1532	sirve	9284	60.85
1534	deuda	9271	60.77
1563	feliz	9194	60.26
1570	tanta	9168	60.09
1572	mente	9147	59.95
1575	breve	9139	59.90
1599	firma	9024	59.15
1607	jaime	8953	58.68
1609	canal	8950	58.66
1624	conde	8869	58.13
1630	carga	8827	57.85
1634	reyes	8799	57.67
1640	abrir	8776	57.52
1641	cuyos	8776	57.52
1644	negra	8740	57.28
1650	morir	8711	57.09
1666	caída	8629	56.56
1672	banda	8608	56.42
1675	frase	8597	56.35
1676	bases	8590	56.30
1682	culpa	8580	56.24
1688	entra	8562	56.12
1689	hayan	8553	56.06
1715	diego	8480	55.58
1716	actor	8477	55.56
1733	sacar	8386	54.96
1739	murió	8348	54.72
1740	éstas	8335	54.63
1741	saben	8332	54.61
1747	corto	8312	54.48
1763	david	8244	54.03
1766	salón	8223	53.90
1774	cifra	8189	53.67
1780	bolsa	8167	53.53
1788	fuese	8134	53.31
1798	serio	8100	53.09
1801	reino	8093	53.04
1812	plena	8065	52.86
1813	venía	8061	52.83
1815	aznar	8042	52.71
1818	legal	8029	52.62
1819	abrió	8021	52.57
1833	china	7939	52.03
1865	dedos	7836	51.36
1867	creer	7829	51.31
1874	voces	7808	51.18
1876	ángel	7784	51.02
1882	temor	7743	50.75
1885	pensó	7731	50.67
1886	dudas	7717	50.58
1898	lleno	7671	50.28
1902	vacío	7654	50.17
1903	ciclo	7653	50.16
1904	valle	7653	50.16
1912	llamó	7635	50.04
1915	pecho	7617	49.92
1916	honor	7615	49.91
1917	pedir	7610	49.88
1937	mirar	7552	49.50
1945	clima	7523	49.31
1949	punta	7513	49.24
